thread_id,escalated,category,reason,labeler,turn_count,first_customer_text
TW_THREAD_000080,0,self_service,"Reports audio out of sync on a streamed film; a technical fault, neutrally asked.",claude-opus-5-in-thread,4,"@115825 also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?"
TW_THREAD_000081,0,self_service,Pre-order announcement post; not a support request.,claude-opus-5-in-thread,5,PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles - https://t.co/bqLHcBDqAb https://t.co/muLIqeHq0o
TW_THREAD_000082,1,complaint,Parcel arrived opened with £97 of goods missing and blames the drivers; a loss claim with severe sentiment.,claude-opus-5-in-thread,2,@115830 my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!! https://t.co/f6SaVBSMqM
TW_THREAD_000083,0,self_service,Asks where a parcel stuck at the courier is; an order tracking lookup despite the angry emoji.,claude-opus-5-in-thread,2,@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡
TW_THREAD_000084,0,self_service,Thanks the brand for styling advice; a closing pleasantry.,claude-opus-5-in-thread,2,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043"
TW_THREAD_000085,1,registration_problems,New device refuses to recognize any household account; an account authentication blocker.,claude-opus-5-in-thread,7,"Bought an @115821 Echo Show and it won’t recognize a single @AmazonHelp account in our household. WTF, guys?"
TW_THREAD_000086,0,self_service,Tracking shows delivered but nothing arrived; a delivery status discrepancy to look up.,claude-opus-5-in-thread,4,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk
TW_THREAD_000087,0,self_service,"Sarcastic photo of oversized packaging; a quip, no demand.",claude-opus-5-in-thread,2,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K"
TW_THREAD_000088,0,self_service,Asks to opt out of one delivery carrier; a delivery preference request.,claude-opus-5-in-thread,6,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.
TW_THREAD_000089,0,self_service,"Notes a book arrived damaged in an intact box; wry tone, no refund demanded.",claude-opus-5-in-thread,4,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q"
TW_THREAD_000090,0,self_service,Third-party giveaway post mentioning the retailer; not a support request.,claude-opus-5-in-thread,3,CONCURSO 👻🎃:Tarjetas regalo en @115821 por tu foto en la cama disfrazado y #ColchonMorfeoHalloween en los post promo:https://t.co/xAsY6KwLZa https://t.co/7yOZvlwBwN
TW_THREAD_000092,0,self_service,Shares a child's school project about the brand; no issue.,claude-opus-5-in-thread,3,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su"
TW_THREAD_000095,0,self_service,Sarcastic packaging photo; a quip with no request.,claude-opus-5-in-thread,3,How @115821 packages china https://t.co/fO9vbus18E
TW_THREAD_000096,1,complaint,"Month-late order with ""you should be ashamed of yourself"" in shouting caps; severe dissatisfaction.",claude-opus-5-in-thread,6,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.
TW_THREAD_000097,0,self_service,Asks whether a pre-order discount policy changed; a policy FAQ.,claude-opus-5-in-thread,2,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?
TW_THREAD_000098,0,self_service,Recurring gripe about parcels left in bushes; frustration below the severity bar.,claude-opus-5-in-thread,2,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.
TW_THREAD_000100,0,self_service,One-line puzzlement about the same character bug; too vague to escalate.,claude-opus-5-in-thread,10,What is up with this “ I️ “
TW_THREAD_000101,0,self_service,Asks whether others see an iOS text-rendering bug; a technical question.,claude-opus-5-in-thread,3,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?"
TW_THREAD_000102,0,self_service,"Terse keyboard fault report; mild exasperation, no demand.",claude-opus-5-in-thread,4,Tf is wrong with my keyboard @115858
TW_THREAD_000103,1,contact_customer_service,Asks whether the support lines are closed; trying to reach a rep tonight.,claude-opus-5-in-thread,4,@115858 @AppleSupport hello are all the lines closed for tonight #help
TW_THREAD_000104,0,self_service,Asks why a stray symbol appears when typing; a technical question.,claude-opus-5-in-thread,6,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7"
TW_THREAD_000105,0,self_service,Reservation date differs between screenshot and email; an order detail lookup.,claude-opus-5-in-thread,2,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?
TW_THREAD_000108,0,self_service,"Polite, vague question about a YouTube issue and thanks support; nothing severe.",claude-opus-5-in-thread,2,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t
TW_THREAD_000109,0,self_service,Video stutters and audio stays on the laptop; a technical troubleshooting question.,claude-opus-5-in-thread,3,"@AppleSupport my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?"
TW_THREAD_000110,0,self_service,Shouted but bare hardware fault report; no demand or abuse.,claude-opus-5-in-thread,4,MY HOME BUTTON DOESN’T WORK #IOS11 @AppleSupport
TW_THREAD_000111,0,self_service,Asks for advice before updating after a past bad experience; a how-to question.,claude-opus-5-in-thread,2,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?
TW_THREAD_000112,0,self_service,Lock-screen controls missing after an update; a technical fault report.,claude-opus-5-in-thread,6,After update #ios1103 no spotify on my lock screen?@AppleSupport
TW_THREAD_000113,1,complaint,"Says the battery life ""sucks ass"" and demands the company act; profane negative judgment.",claude-opus-5-in-thread,2,I just need @115858 to do something about the battery life because it sucks ass
TW_THREAD_000114,1,get_refund,"Calls the charges false, alleges theft and demands their $13 back.",claude-opus-5-in-thread,3,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft
TW_THREAD_000115,1,complaint,Driver took them to the wrong destination and they respond with an expletive initialism.,claude-opus-5-in-thread,2,@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm
TW_THREAD_000116,0,self_service,Says they are not receiving the service's texts; too little detail to escalate.,claude-opus-5-in-thread,2,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg
TW_THREAD_000118,1,contact_human_agent,Stranded and objects that there is no support phone number to call; wants live human help.,claude-opus-5-in-thread,5,Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️
TW_THREAD_000119,1,complaint,Describes an hour in a smelly car with torn seats and says standards have dropped.,claude-opus-5-in-thread,2,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!"
TW_THREAD_000120,1,complaint,Demands the incident be investigated after being pushed in the queue; angry emoji.,claude-opus-5-in-thread,4,@Tesco 3/3 on the wrong which I really don’t appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed in😡
TW_THREAD_000121,0,self_service,Asks why an earlier flight was not offered at rebooking; mild displeasure only.,claude-opus-5-in-thread,4,"@Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning."
TW_THREAD_000122,0,self_service,Reports the change-flight search is broken again; a website fault report.,claude-opus-5-in-thread,7,"@Delta The ""change flight"" search option on your website is broken once again.  😑"
TW_THREAD_000125,1,complaint,"Says complaints get pushed to DM with ""bs answers"" and no reason for the seat change.",claude-opus-5-in-thread,14,@delta #delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!
TW_THREAD_000127,0,self_service,Calls the Windows app buggy and asks about future updates; a roadmap question.,claude-opus-5-in-thread,6,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?
TW_THREAD_000129,0,self_service,Already rebooked themselves and politely asks about upgrade availability; no dispute.,claude-opus-5-in-thread,4,"Hi @British_Airways! My flight from MAN--LHR--BWI for Nov. 3 was canceled. I was excited to try your Club 787 product. Only available flight is now to IAD which is a hassle, but rebooked anyway--my only option! Any availability in first class on BA293 for the troubles please?"
TW_THREAD_000130,1,complaint,Accuses the airline of ignoring their claim until the limitation period expires.,claude-opus-5-in-thread,3,"@British_Airways  will you ever address my complaint/claim?  Or, do you just ignore it until the 2 yrs are up?"
TW_THREAD_000133,0,self_service,Asks the status of a specific flight during runway works; a status lookup.,claude-opus-5-in-thread,4,"@British_Airways runway is under maintenance at Delhi from 7 nov. flights have been cancelled. Wanted to know status of BA0257, lhr-del 7nov"
TW_THREAD_000136,0,self_service,Receiving alerts as a non-customer; a routine contact-preference question.,claude-opus-5-in-thread,3,@115900 hi I got some odd text alert from you I don't have your service why would I get alerts
TW_THREAD_000140,0,self_service,Halloween costume photo tagging the airline; no issue.,claude-opus-5-in-thread,2,Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting @americanair … https://t.co/f1nNHQ0iLa https://t.co/lDViDkRdB1
TW_THREAD_000142,0,self_service,Cheerful note about an upcoming trip; no issue.,claude-opus-5-in-thread,2,Heading to London tonight will be there for 5 days doing some exciting stuff:) @AmericanAir get the drinks ready I coming aboard:) JB
TW_THREAD_000145,0,self_service,Marketing copy for an upgrade program; not a customer request.,claude-opus-5-in-thread,13,Be ready for your next iPhone. Join our iPhone upgrade program for free!  https://t.co/ELb8YQspF6
TW_THREAD_000146,1,complaint,"Objects to a $75 switching charge and calls the inconsistent messaging a ""shame!"".",claude-opus-5-in-thread,3,@115913 @115911 just called in to switch from AT&amp;T. They wanted $75 to switch 3 phones! I said no way! Inconsistent messaging - shame!
TW_THREAD_000148,1,complaint,"Calls a three-hour internet outage ""BS""; profane negative judgment of the service.",claude-opus-5-in-thread,2,T-Mobile So Bs My Internet Stop Working For 3 Hours https://t.co/YISXwAHace
TW_THREAD_000149,1,complaint,"""Bad customer experience... Not going back ever again. #FAIL""; severe dissatisfaction.",claude-opus-5-in-thread,2,No. That opportunity has passed. Bad customer experience @115911 &amp; @343   Not going back ever again. #FAIL https://t.co/05pINkDFGd
TW_THREAD_000150,0,self_service,Promo code fails at checkout and politely asks support to look; a code lookup.,claude-opus-5-in-thread,8,@TMobileHelp @1247 The @10568 code is not working when applied at checkout. Can you please look into this? https://t.co/SJvM7AW24t
TW_THREAD_000151,1,complaint,"Waited three hours then found staff ""rude and arrogant & unhelpful""; a staff conduct complaint.",claude-opus-5-in-thread,2,@VirginTrains so i wait almost 3 hours and then they are rude and arrogant &amp; unhelpful after which she is raising a technical case https://t.co/yi9oxFMatO
TW_THREAD_000153,1,payment_issue,Says the call centre quoted £176 for a ticket sold online at £88; an overcharge.,claude-opus-5-in-thread,2,"Gotta luv @VirginTrains finally get 2 call cntr, they tried to charge me £176 for a ticket which can b purchased for £88 online https://t.co/I7rkohYqaI"
TW_THREAD_000155,0,self_service,Asks whether their train will be held; a live service status question.,claude-opus-5-in-thread,4,@VirginTrains We are enroute to Preston Now from Euston. Will we have to wait it out?
TW_THREAD_000156,1,get_refund,"Disputes being told a repeated delay ""doesn't qualify"" for a refund.",claude-opus-5-in-thread,10,"@VirginTrains For at least the third time this year, I will miss the meeting I especially took the train for in the first place. So often late. No refund because it ""doesn't qualify"". Next season = car."
TW_THREAD_000157,1,complaint,"""WORST experience ever"" and vows never to fly internationally with them again.",claude-opus-5-in-thread,2,I really hadthe WORST experience ever from start to finish with @SouthwestAir  will never fly internationally again with them
TW_THREAD_000158,0,self_service,"Halloween inflight photo; positive, no issue.",claude-opus-5-in-thread,2,Celebrated Halloween on a @southwestair flight with my pumpkin spice @15890 and a delicious (free) @115927 O… https://t.co/GGPGaaFVq2 https://t.co/gnCxPEsaEv
TW_THREAD_000160,0,self_service,Reports the account page is down; a website status report.,claude-opus-5-in-thread,6,@SouthwestAir is down on the my account page 😑😑
TW_THREAD_000161,1,payment_issue,Reveals an unauthorized PayPal charge shipped to a stranger's address after account compromise.,claude-opus-5-in-thread,4,"Change your @115931 password and turn on two-step verification or else you, too, may receive a paypal receipt for a van reversing camera with a random delivery address in Walthamstow."
TW_THREAD_000162,0,self_service,Praises free holiday drinks; no issue.,claude-opus-5-in-thread,2,Best part of my Halloween? Free drinks on all my @SouthwestAir flights for the holiday👻It’s spooktacular.
TW_THREAD_000163,0,self_service,Praises one airline for helping with another's flight; a compliment.,claude-opus-5-in-thread,10,@SouthwestAir helped me out to try to get through to my flight when my @AmericanAir didn't and my flight was with AA. Wow. Loss for words
TW_THREAD_000164,0,self_service,Check-in throws repeated errors before a flight; a technical fault report.,claude-opus-5-in-thread,2,@SouthwestAir Why would we be receiving errors when we try to check-in? Our flight takes off at 4 but we keep getting error messages...
TW_THREAD_000166,1,complaint,"Every sale flags as fraudulent, a week wasted, and they declare ""I'm done"".",claude-opus-5-in-thread,2,EVERYTIME i sell something on @115937 @AskeBay the bid comes back as fraudulent and i have to repost.  7 days wasted.  I’m done.  Ugh.
TW_THREAD_000167,1,contact_customer_service,"Item never arrived, seller silent, carrier cannot help; every self-service route exhausted.",claude-opus-5-in-thread,10,"@AskeBay need assistance. Bought item, due to be delivered Saturday. Never received item, despite being marked as delivered. No response from seller, delivery services cannot assist with lost/missing package. Please advise."
TW_THREAD_000169,1,registration_problems,Account password changed by an intruder and three reset emails never arrived.,claude-opus-5-in-thread,2,@hulu_support Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do?
TW_THREAD_000170,1,complaint,"Calls the redesign nearly unusable and gives it ""Zero stars"".",claude-opus-5-in-thread,8,I feel it’s important to remind @115940 that its new interface has made watching what you want to watch nearly impossible. Zero stars.
TW_THREAD_000171,0,self_service,Sad that mirroring is unsupported and muses about cancelling; no fee dispute or severe sentiment.,claude-opus-5-in-thread,4,Love @115940 but lost home internet&amp; just learned can’t Mirror Hulu on iPad hdmi adapter. Wanted to get Hulu live. Guess I’ll have to cancel all of Hulu &amp; look at @115946 or something like that 😢 why #Hulu why???
TW_THREAD_000173,0,self_service,Asks where to catch a rail replacement bus; a travel information question.,claude-opus-5-in-thread,4,@GWRHelp boarding the 22:45 from pad to swindon. Where in reading do I have to go for the bus?dont usually find staff to help!!!
TW_THREAD_000174,1,complaint,"Opens with ""fuck you""; direct verbal abuse at the carrier.",claude-opus-5-in-thread,5,@115714 fuck you fix my connection
TW_THREAD_000175,1,contact_human_agent,"Asks how to reach ""someone that matters"" at corporate; a request to escalate above frontline.",claude-opus-5-in-thread,5,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate
TW_THREAD_000176,1,complaint,"Getting ""the runaround"" over phone unlocks and their kids are left without phones tonight.",claude-opus-5-in-thread,2,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!
